dataset,holdout_family,split_variant,model_family,stage1_weight_mode,split,method,thr_high,selection_param_json,macro_f1,accuracy,benign_family_fp_rate,benign_reject_rate,overall_reject_rate,unknown_detection_rate,false_unknown_rate_all_known,false_unknown_rate_known_attacks,n_true_unknown,n_known_all,n_known_attacks,coverage,unknown_known_auroc,unknown_known_aupr,control_macro_f1,control_unknown_detection_rate,delta_macro_f1_vs_control,delta_unknown_detection_vs_control
CICIDS2017,Botnet,recovered contiguous-within-day Protocol B variant,xgb,inv_family_clipped,test,control_tau,6.71482745800347e-05,"{""tau"": 0.9}",0.651997568401555,0.9767135769970638,0.0114563725348237,0.0140569343488459,0.0135668725321453,0.3138138138138138,0.0131162981439795,0.0098183553493283,666,443799,98489,0.9864331274678546,0.9654196455451076,0.0357155933223015,0.651997568401555,0.3138138138138138,0.0,0.0
CICIDS2017,Botnet,recovered contiguous-within-day Protocol B variant,xgb,inv_family_clipped,test,margin_reject,6.71482745800347e-05,"{""margin_thr"": 0.36377768666840726}",0.6288106293296674,0.9772715511907576,0.0194491905823752,0.0060641163012944,0.0055909914166469,0.006006006006006,0.0055903686128179,0.0039293728233609,666,443799,98489,0.994409008583353,0.9654121278708084,0.0356408405337608,0.651997568401555,0.3138138138138138,-0.023186939071887624,-0.3078078078078078
CICIDS2017,Botnet,recovered contiguous-within-day Protocol B variant,xgb,inv_family_clipped,test,entropy_reject,6.71482745800347e-05,"{""entropy_thr"": 0.46890934942856055}",0.6508434067245448,0.977737279650816,0.0172366858764588,0.0082766210072109,0.007001676172477,0.1756756756756756,0.0067485505825835,0.001391018286306,666,443799,98489,0.992998323827523,0.966018985531197,0.0378073170806828,0.651997568401555,0.3138138138138138,-0.0011541616770102125,-0.1381381381381382
CICIDS2017,Botnet,recovered contiguous-within-day Protocol B variant,xgb,inv_family_clipped,test,conformal_reject,6.71482745800347e-05,"{""alpha"": 0.1, ""family_thresholds"": {""BruteForce"": 0.04768348421393886, ""DDoS"": 0.9995293370898757, ""DoS"": 0.9616950830712356, ""Scan/Recon"": 0.9994159879312977, ""Web/App"": 0.05528821396962709}}",0.629114459988099,0.9672145163286198,0.0102284903420115,0.0152848165416582,0.0253315784144983,0.9039039039039038,0.0240131230579609,0.0546152362192732,666,443799,98489,0.9746684215855016,0.9115320088463336,0.0570006559016815,0.651997568401555,0.3138138138138138,-0.022883108413455977,0.5900900900900901
CICIDS2017,BruteForce,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,control_tau,0.0066666666666666,"{""tau"": 0.9}",0.7889314246040672,0.9920893658668286,0.0012858011641713,0.0070748023515102,0.0062232121764368,0.167755991285403,0.0060562244654351,0.002492502229067,459,444006,98696,0.9937767878235632,0.9863790384115892,0.0561405223456492,0.7889314246040672,0.167755991285403,0.0,0.0
CICIDS2017,BruteForce,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,margin_reject,0.0066666666666666,"{""margin_thr"": 0.46999999999953}",0.7848343463056808,0.9923031059813484,0.0037444614983637,0.0046161420173177,0.0040385632164512,0.1394335511982571,0.0038985959649193,0.0013881008348869,459,444006,98696,0.9959614367835488,0.986430265417619,0.0558026822925268,0.7889314246040672,0.167755991285403,-0.004097078298386347,-0.028322440087145906
CICIDS2017,BruteForce,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,entropy_reject,0.0066666666666666,"{""entropy_thr"": 0.5422364591770983}",0.7850081476271545,0.99231435546106,0.0039645535895282,0.0043960499261533,0.0038473220613546,0.1372549019607843,0.0037094093323063,0.0013070438518278,459,444006,98696,0.9961526779386454,0.98616138497098,0.0518406314319141,0.7889314246040672,0.167755991285403,-0.0039232769769126374,-0.030501089324618702
CICIDS2017,BruteForce,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,conformal_reject,0.0066666666666666,"{""alpha"": 0.2, ""family_thresholds"": {""Botnet"": 0.8499999999974499, ""DDoS"": 0.9999999999959996, ""DoS"": 0.9866666666656799, ""Scan/Recon"": 0.9999999999959999, ""Web/App"": 0.9966665923321842}}",0.7824998656745553,0.9886560246588596,0.0004170165937852,0.0079435869218962,0.0107320036448314,0.3616557734204793,0.0103692292446498,0.0188558806841209,459,444006,98696,0.9892679963551686,0.3873704203314217,0.0169918945231224,0.7889314246040672,0.167755991285403,-0.00643155892951186,0.19389978213507628
CICIDS2017,DDoS,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,control_tau,0.0033333333333333,"{""tau"": 0.8}",0.584295371320792,0.9379636191826128,0.0038776751324896,0.0182908111551938,0.015708773469227,0.0007278777165436,0.0163863876340153,0.0081580560803793,19234,425231,79921,0.984291226530773,0.9821182969340244,0.5103787045511222,0.584295371320792,0.0007278777165436,0.0,0.0
CICIDS2017,DDoS,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,margin_reject,0.0033333333333333,"{""margin_thr"": 0.24666666666642}",0.5962285016860743,0.9384338474345562,0.0127305899047232,0.0094378963829602,0.0078341376711327,0.0001559737964022,0.0081814355021153,0.0027527183093304,19234,425231,79921,0.9921658623288672,0.9822198231423408,0.5066173081980196,0.584295371320792,0.0007278777165436,0.011933130365282318,-0.0005719039201414
CICIDS2017,DDoS,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,entropy_reject,0.0033333333333333,"{""entropy_thr"": 0.5899166075002966}",0.629666328355212,0.938640837861249,0.0088181633894182,0.0133503228982653,0.0104687658195808,0.0003639388582718,0.0109258261979959,0.000450444814254,19234,425231,79921,0.9895312341804192,0.9823146854904456,0.5037731012314154,0.584295371320792,0.0007278777165436,0.045370957034419956,-0.0003639388582718
CICIDS2017,DDoS,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,conformal_reject,0.0033333333333333,"{""alpha"": 0.01, ""family_thresholds"": {""Botnet"": 0.8133333333308933, ""BruteForce"": 0.10950005384995135, ""DoS"": 0.036666666666629995, ""Scan/Recon"": 0.9833333333303832, ""Web/App"": 0.07620109772241355}}",0.5864915657685926,0.9384833451452872,0.017283021053546,0.0048854652341374,0.0040250638407973,0.0003639388582718,0.0041906634276428,0.0011886738153927,19234,425231,79921,0.9959749361592026,0.0192323734350665,0.0229997889890562,0.584295371320792,0.0007278777165436,0.0021961944478006146,-0.0003639388582718
CICIDS2017,DoS,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,test,control_tau,0.0032871030910743,"{""tau"": 0.8}",0.7643260806136165,0.9879608068126848,0.0020908748660623,0.0116996322145318,0.0271742431912524,0.9882567849686849,0.0103113317048266,0.0050715370910799,7664,436801,91491,0.9728257568087476,0.9884860072994932,0.7243221394931085,0.7643260806136165,0.9882567849686849,0.0,0.0
CICIDS2017,DoS,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,test,margin_reject,0.0032871030910743,"{""margin_thr"": 0.12333333333333335}",0.6991244232521662,0.9762051005141013,0.0106628826272045,0.0031276244533897,0.0073999077542663,0.2755741127348643,0.0026945909006618,0.0010602135729197,7664,436801,91491,0.9926000922457336,0.9877966056536908,0.6206947328024494,0.7643260806136165,0.9882567849686849,-0.06520165736145034,-0.7126826722338205
CICIDS2017,DoS,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,test,entropy_reject,0.0032871030910743,"{""entropy_thr"": 0.6035778306479594}",0.7591458836575649,0.9812291181532854,0.0070545307115345,0.0067359763690596,0.0149303094731868,0.5610647181628392,0.0053479731044571,0.0001093003683422,7664,436801,91491,0.9850696905268131,0.989207896580452,0.7296709183352474,0.7643260806136165,0.9882567849686849,-0.0051801969560516525,-0.42719206680584565
CICIDS2017,DoS,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,test,conformal_reject,0.0032871030910743,"{""alpha"": 0.2, ""family_thresholds"": {""Botnet"": 0.8499999999974499, ""BruteForce"": 0.5031249461343387, ""DDoS"": 0.9999999999959999, ""Scan/Recon"": 0.9999999999959999, ""Web/App"": 0.27239867960047814}}",0.7837781155731924,0.9874815789769724,0.0049926153311517,0.0087978917494425,0.0237926495899564,0.9528966597077244,0.007490825341517,0.0025576286192084,7664,436801,91491,0.9762073504100436,0.9563764722125986,0.7618522432268742,0.7643260806136165,0.9882567849686849,0.019452034959575926,-0.03536012526096044
