paper,model_profile,dataset,full_framework_surface,task_or_holdout,closed_set_task_used,closed_set_accuracy,full_framework_accuracy,accuracy_delta_full_minus_closed,closed_set_macro_f1,full_framework_macro_f1_supported_labels,full_framework_macro_f1_declared_output_labels_historical
adewole2025_xgb,adewole2025_xgb_profile,CICIDS2017,protocol_a_reference_profile,closed_set_system,family,0.9961957521876804,0.9823462595264838,-0.013849492661196616,0.9205930209401167,0.753401309040285,0.659226145410250
adewole2025_xgb,adewole2025_xgb_profile,CICIoT2023,protocol_a_reference_profile,closed_set_system,binary,0.988768,0.8739151289771286,-0.11485287102287134,0.9394575205434568,0.671437339859694,0.587507672377232
neto2023_rf,neto2023_rf_profile,CICIoT2023,protocol_a_reference_profile,closed_set_system,family,0.97974,0.9667670267262168,-0.012972973273783217,0.904974505109935,0.828879443059382,0.725269512676959
neto2023_rf,neto2023_rf_profile,CICIoT2023,protocol_b_reference_profile,BruteForce,family,0.97974,0.9617482255002312,-0.017991774499768853,0.904974505109935,0.7969344756750861,
adewole2025_xgb,adewole2025_xgb_profile,CICIoT2023,protocol_b_reference_profile,BruteForce,binary,0.988768,0.968643856447944,-0.02012414355205594,0.9394575205434568,0.8057443845782807,
neto2023_rf,neto2023_rf_profile,CICIoT2023,protocol_b_reference_profile,Scan/Recon,family,0.97974,0.9350314342358168,-0.04470856576418325,0.904974505109935,0.77277449833962,
neto2023_rf,neto2023_rf_profile,CICIoT2023,protocol_b_reference_profile,Other,family,0.97974,0.9112577976805758,-0.06848220231942426,0.904974505109935,0.6973709888239066,
adewole2025_xgb,adewole2025_xgb_profile,CICIDS2017,protocol_b_reference_profile,Botnet,family,0.9961957521876804,0.97847074572801,-0.017725006459670456,0.9205930209401167,0.6528632481951019,
adewole2025_xgb,adewole2025_xgb_profile,CICIoT2023,protocol_b_reference_profile,Scan/Recon,binary,0.988768,0.9312729291064984,-0.05749507089350159,0.9394575205434568,0.7153093751988446,
adewole2025_xgb,adewole2025_xgb_profile,CICIDS2017,protocol_b_reference_profile,BruteForce,family,0.9961957521876804,0.9796204425545318,-0.01657530963314857,0.9205930209401167,0.6890486334033812,
adewole2025_xgb,adewole2025_xgb_profile,CICIoT2023,protocol_b_reference_profile,Other,binary,0.988768,0.9101418340262272,-0.07862616597377281,0.9394575205434568,0.6670014842276248,
adewole2025_xgb,adewole2025_xgb_profile,CICIoT2023,protocol_b_reference_profile,DoS,binary,0.988768,0.8084489112846681,-0.18031908871533187,0.9394575205434568,0.7309107674012768,
neto2023_rf,neto2023_rf_profile,CICIoT2023,protocol_b_reference_profile,Botnet,family,0.97974,0.8226810166101407,-0.15705898338985935,0.904974505109935,0.6968606540952708,
adewole2025_xgb,adewole2025_xgb_profile,CICIoT2023,protocol_b_reference_profile,Botnet,binary,0.988768,0.8211183316133442,-0.16764966838665574,0.9394575205434568,0.7154824959303806,
neto2023_rf,neto2023_rf_profile,CICIoT2023,protocol_b_reference_profile,DoS,family,0.97974,0.8060784331836705,-0.1736615668163296,0.904974505109935,0.6732476619560774,
adewole2025_xgb,adewole2025_xgb_profile,CICIoT2023,protocol_b_reference_profile,DDoS,binary,0.988768,0.4885082614058791,-0.5002597385941209,0.9394575205434568,0.609408640412534,
adewole2025_xgb,adewole2025_xgb_profile,CICIDS2017,protocol_b_reference_profile,Web/App,family,0.9961957521876804,0.9814721069150552,-0.014723645272625263,0.9205930209401167,0.7122358677326653,
neto2023_rf,neto2023_rf_profile,CICIoT2023,protocol_b_reference_profile,DDoS,family,0.97974,0.4757960162868556,-0.5039439837131445,0.904974505109935,0.6142488713724548,
adewole2025_xgb,adewole2025_xgb_profile,CICIDS2017,protocol_b_reference_profile,DoS,family,0.9961957521876804,0.9598573565972572,-0.03633839559042318,0.9205930209401167,0.5751380607539257,
adewole2025_xgb,adewole2025_xgb_profile,CICIDS2017,protocol_b_reference_profile,DDoS,family,0.9961957521876804,0.9339385553418156,-0.06225719684586484,0.9205930209401167,0.51181193320324,
adewole2025_xgb,adewole2025_xgb_profile,CICIDS2017,protocol_b_reference_profile,Scan/Recon,family,0.9961957521876804,0.821551753231413,-0.17464399895626737,0.9205930209401167,0.3813465650884957,
