dataset,holdout_family,split_variant,model_family,stage1_weight_mode,method,sink_family,global_tau,sink_tau,margin_floor,macro_f1,accuracy,unknown_detection_rate,false_unknown_rate_all_known,false_unknown_rate_known_attacks,benign_family_fp_rate,overall_reject_rate,benign_reject_rate,n_true_unknown,n_known_all,n_known_attacks,delta_macro_f1_mean,delta_macro_f1_ci_low,delta_macro_f1_ci_high,delta_unknown_detection_mean,delta_unknown_detection_ci_low,delta_unknown_detection_ci_high
CICIDS2017,Scan/Recon,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,control_tau,Botnet,0.9,,,0.7694073145973681,0.9843789724725232,0.9993229423795754,0.0174184222501806,0.0352087756546355,0.0010859807129825,0.1740384507216541,,,,,,,,,,
CICIDS2017,Scan/Recon,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,sink_aware_reject,Botnet,0.9,0.9,0.0,0.7694073145973681,0.9843789724725232,0.9993229423795754,0.017418422250180688,0.035208775654635524,0.0010859807129825374,0.17403845072165414,0.015962468506559323,70895.0,373570.0,28260.0,,,,,,
CICIDS2017,Scan/Recon,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,sink_aware_delta_vs_control,Botnet,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017,DoS,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,control_tau,Benign,0.8,,,0.7643260806136165,0.9879608068126848,0.9882567849686849,0.0103113317048266,0.0050715370910799,0.0020908748660623,0.0271742431912524,,,,,,,,,,
CICIDS2017,DoS,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,sink_aware_reject,Benign,0.8,0.8,0.0,0.7643260806136165,0.9879608068126849,0.9882567849686847,0.010311331704826683,0.005071537091079997,0.002090874866062379,0.027174243191252404,0.01169963221453187,7664.0,436801.0,91491.0,,,,,,
CICIDS2017,DoS,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,sink_aware_delta_vs_control,Benign,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017,Botnet,recovered contiguous-within-day Protocol B variant,xgb,inv_family_clipped,control_tau,Scan/Recon,0.9,,,0.651997568401555,0.9767135769970638,0.3138138138138138,0.0131162981439795,0.0098183553493283,0.0114563725348237,0.0135668725321453,,,,,,,,,,
CICIDS2017,Botnet,recovered contiguous-within-day Protocol B variant,xgb,inv_family_clipped,sink_aware_reject,Scan/Recon,0.9,0.96196141652872,0.0,0.6517219612465197,0.9764863375068903,0.3183183183183183,0.015299719016942355,0.01087431083674319,0.008951377023544062,0.015753771388073302,0.016561929860125685,666.0,443799.0,98489.0,,,,,,
CICIDS2017,Botnet,recovered contiguous-within-day Protocol B variant,xgb,inv_family_clipped,sink_aware_delta_vs_control,Scan/Recon,,,,,,,,,,,,,,,-0.00028067759115201374,-0.0004550592234743883,-0.000117026052864691,0.004377945217108146,0.0,0.009147040724994414
CICIDS2017,BruteForce,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,control_tau,Web/App,0.9,,,0.7889314246040672,0.9920893658668286,0.167755991285403,0.0060562244654351,0.002492502229067,0.0012858011641713,0.0062232121764368,,,,,,,,,,
